year,age,sex,race,indicator,value,lower,upper,unit,source,category,subcategory,description
2013,Ages 35-64 years,Men,Overall,Coronary Heart Disease (chd),137.4,120.6,162,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,White,Heart Failure,475.3,430.7,527.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Asian/Pacific Islander,Heart Failure,5.8,3.6,8.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Ages 65 years and older,Overall,Overall,All Heart Disease,1052.9,987.9,1132.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Overall,Cardiovascular Disease (cvd),165.8,150.3,180.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Men,Overall,Coronary Heart Disease (chd),879.5,793.9,962.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Women,Overall,All Stroke,322.4,285.4,364,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,White,All Stroke,19.9,16.3,24.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Women,Overall,Cardiovascular Disease (cvd),108.6,95.6,123,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,White,Cardiovascular Disease (cvd),1501.9,1416.4,1594.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Overall,Coronary Heart Disease (chd),101.4,89,113.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,Black (Non-Hispanic),All Heart Disease,1184.8,1051.8,1365.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,Hispanic,Cardiovascular Disease (cvd),1101,944.6,1297.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Overall,All Heart Disease,129.6,116.4,142.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Overall,All Stroke,23.5,20.7,27.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,Black (Non-Hispanic),All Stroke,388.5,329.9,460.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Black (Non-Hispanic),All Heart Disease,217.9,185.3,250.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Hispanic,All Stroke,19.7,16.6,25,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Women,Overall,Heart Failure,398.6,351.7,443,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Ages 65 years and older,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),716.7,639,818.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,White,Coronary Heart Disease (chd),670.5,606.1,730.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Women,Overall,Coronary Heart Disease (chd),56.9,47.1,66.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Men,Overall,Heart Failure,542.5,489.5,614.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Hispanic,Coronary Heart Disease (chd),45.1,37.6,57.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),289.6,245.3,338.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 65 years and older,Overall,Hispanic,Heart Failure,353.8,293.5,427.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Ages 65 years and older,Overall,White,All Stroke,324,290.1,361.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2013,Ages 35-64 years,Women,Overall,All Stroke,19.1,15.1,22.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,White,All Stroke,319.7,286.2,358,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Hispanic,All Stroke,18.6,15,23.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Hispanic,Cardiovascular Disease (cvd),98.7,82.4,115.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),763.9,655,893.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,White,All Stroke,19.3,15.4,22.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Black (Non-Hispanic),All Stroke,47,36.7,63.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,White,Cardiovascular Disease (cvd),1450.7,1352.1,1541.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Men,Overall,Coronary Heart Disease (chd),137.3,119.8,158.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Black (Non-Hispanic),All Heart Disease,1230.9,1082.8,1424.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Women,Overall,Cardiovascular Disease (cvd),112.3,99.9,125.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Hispanic,Cardiovascular Disease (cvd),1082.3,926.5,1248,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Overall,Heart Failure,26.7,22.6,32.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Women,Overall,All Stroke,18.6,15.3,22.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Overall,All Heart Disease,135.2,121,148,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Women,Overall,Heart Failure,415.1,375.8,463.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),1810.8,1639.1,2025.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Men,Overall,All Stroke,325,285.2,370.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Women,Overall,All Stroke,325.9,288.9,372.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,White,Heart Failure,24.1,18.9,30.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Overall,All Stroke,23.2,20.3,26.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Hispanic,All Stroke,297.1,249.8,352.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Men,Overall,Cardiovascular Disease (cvd),227.3,203.1,251.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Black (Non-Hispanic),All Stroke,385.6,326,459.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),312.6,275.3,365.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Black (Non-Hispanic),Heart Failure,527.8,448,621.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 65 years and older,Overall,White,All Heart Disease,1052.3,975.9,1128.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Hispanic,All Heart Disease,719.2,604.7,817.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Hispanic,Heart Failure,15.2,11.7,20.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Women,Overall,All Heart Disease,84,74.8,95.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Hispanic,Coronary Heart Disease (chd),475.9,385.9,553.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Black (Non-Hispanic),All Heart Disease,225.4,186.5,262.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Asian/Pacific Islander,All Stroke,10.7,7.4,15.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Men,Overall,Heart Failure,554.6,485.3,616,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 65 years and older,Men,Overall,Coronary Heart Disease (chd),858.6,775.1,938.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Hispanic,All Heart Disease,71.4,60.3,86.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Women,Overall,Coronary Heart Disease (chd),56.8,48.4,67.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Women,Overall,Coronary Heart Disease (chd),463.3,415.2,513.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Overall,Coronary Heart Disease (chd),97.9,87.4,111.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Overall,Coronary Heart Disease (chd),643.7,584.8,697.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Men,Overall,All Stroke,28.6,23.2,34.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Asian/Pacific Islander,Cardiovascular Disease (cvd),62.4,45.6,81.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,White,Heart Failure,486.8,436.3,538.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 65 years and older,Men,Overall,All Heart Disease,1316.1,1225.8,1425.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Women,Overall,All Heart Disease,845.3,777,921.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,White,Cardiovascular Disease (cvd),158.7,140.3,180.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),161.4,133.1,193.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Men,Overall,Cardiovascular Disease (cvd),1718.9,1585.9,1847.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Overall,Cardiovascular Disease (cvd),1456.4,1370,1545.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Women,Overall,Cardiovascular Disease (cvd),1255.4,1171.8,1348.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,White,All Heart Disease,130.4,117.5,151,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,White,Coronary Heart Disease (chd),646.2,584.9,699.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Men,Overall,All Heart Disease,183.5,161.9,207.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,White,Coronary Heart Disease (chd),100.1,87.1,114.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Black (Non-Hispanic),Heart Failure,55.4,41.8,79.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Overall,All Stroke,324.3,294.8,357.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Men,Overall,Heart Failure,34.6,28.9,41.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Asian/Pacific Islander,All Heart Disease,41.3,32,50.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Overall,Cardiovascular Disease (cvd),168.5,154.5,188.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 35-64 years,Women,Overall,Heart Failure,19.4,14.9,24.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Asian/Pacific Islander,Coronary Heart Disease (chd),23.8,15.1,31.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Overall,Heart Failure,481.1,434.7,535.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Asian/Pacific Islander,Heart Failure,4.6,2.6,7.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 35-64 years,Overall,Hispanic,Coronary Heart Disease (chd),45.1,36.8,58.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Hispanic,Heart Failure,381.9,305.1,481.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Ages 65 years and older,Overall,Overall,All Heart Disease,1058.4,985.2,1129.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Men,Overall,Cardiovascular Disease (cvd),215.3,193.9,238.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Men,Overall,Coronary Heart Disease (chd),869.8,785.6,954.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Women,Overall,Cardiovascular Disease (cvd),1241.7,1157.1,1325.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Women,Overall,Coronary Heart Disease (chd),455.8,403.3,506.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Asian/Pacific Islander,All Stroke,10.2,7.4,14,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Men,Overall,Cardiovascular Disease (cvd),1766.5,1632.4,1899,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Women,Overall,All Stroke,338,302.6,388.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Men,Overall,Heart Failure,592.9,528,662.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 65 years and older,Women,Overall,All Heart Disease,822.2,752.3,886.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Men,Overall,Coronary Heart Disease (chd),131.4,114.7,148,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Hispanic,Heart Failure,403.8,325.7,492,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Asian/Pacific Islander,Coronary Heart Disease (chd),22.7,15.6,30.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Overall,Heart Failure,496.3,451.1,548.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 35-64 years,Overall,White,All Heart Disease,126.4,111.5,141,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Asian/Pacific Islander,Cardiovascular Disease (cvd),59,46,80.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Men,Overall,All Heart Disease,178.8,159.5,198.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Overall,Cardiovascular Disease (cvd),1450.4,1354.2,1537.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,White,Coronary Heart Disease (chd),634.9,578.5,713.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Overall,Coronary Heart Disease (chd),628.3,573.2,696.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Women,Overall,Heart Failure,18.6,13.8,25.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Asian/Pacific Islander,Heart Failure,5,3.2,7.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Overall,All Stroke,329.5,296.2,369.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Men,Overall,All Stroke,26.6,21.8,31.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Overall,All Heart Disease,1043.1,973.2,1119.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Hispanic,All Heart Disease,70.5,58.4,84.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Women,Overall,Cardiovascular Disease (cvd),110.4,96.9,125.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Hispanic,Coronary Heart Disease (chd),46.1,34.8,57.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Black (Non-Hispanic),All Heart Disease,1222.8,1066.4,1380.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Black (Non-Hispanic),All Heart Disease,219.8,184.5,256.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,White,All Stroke,18.8,15.4,22.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Black (Non-Hispanic),All Stroke,376,315,443.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,White,Coronary Heart Disease (chd),97.8,84.6,113.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Women,Overall,Coronary Heart Disease (chd),55.8,46.6,66.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Black (Non-Hispanic),All Stroke,45.7,33.9,58.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),755.3,630.8,874.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Overall,Coronary Heart Disease (chd),94.9,83.3,107.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Women,Overall,All Stroke,19.1,15.7,23.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),1810.3,1617.4,2007.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,White,All Stroke,327,292.2,367.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),154.3,124.9,185.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Black (Non-Hispanic),Heart Failure,545.1,463.4,640.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 35-64 years,Women,Overall,All Heart Disease,81.5,71.5,93.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Hispanic,All Heart Disease,723.9,604.1,841.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,White,Heart Failure,22.9,17.7,29.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Hispanic,Cardiovascular Disease (cvd),99.2,83.3,118.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 65 years and older,Overall,Hispanic,All Stroke,294.5,239.8,357.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2015,Ages 35-64 years,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),304.2,262.4,347.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
